"","tube.no","pot.no","intercept","intercept.pvalue","slope","slope.pvalue","adj.R2"
"278","Q_354","Q_354","-2.56640603053036","NaN","0.403582879911478","NaN","NaN"
"279","Q_356","Q_356","-2.37717579206568","0.0091815827508484","0.273999266834673","0.0270440769598871","0.996392944573375"
"280","Q_357","Q_357","-2.59382650491391","5.3453259324125e-06","0.283073335231433","1.98884442814856e-05","0.95365484169784"
"281","Q_359","Q_359","-3.34417551691417","3.29456830414793e-06","0.327073714427013","1.24783542538022e-05","0.979851451418658"
"282","Q_360_D8","Q_360","-3.41177833302897","0.205422696222991","0.410671653381225","0.351491410722036","0.449810805397289"
"283","Q_362","Q_362","-2.29796812217798","7.58883578812947e-07","0.279734891753785","9.3154975312762e-07","0.969326713781649"
"284","Q_364","Q_364","-3.00826909233005","NaN","0.482540448021793","NaN","NaN"
"285","Q_365","Q_365","-2.42113771823065","3.22694071434688e-07","0.27095779468134","7.058668923691e-07","0.971657567632018"
"286","Q_367","Q_367","-1.55926886649343","0.00873851715383243","0.0256758875564016","0.175675311799386","0.851529737095189"
"287","Q_369","Q_369","-2.48497519375035","2.59759494238674e-09","0.254489370149933","1.06590375241033e-08","0.991429693610494"
"288","Q_370","Q_370","-2.50895474358032","5.3370029172934e-10","0.281374131776183","1.16584143062878e-09","0.99544411439352"
"289","Q_371","Q_371","-2.97595762996132","4.42093001913978e-08","0.311611549280041","1.54158349872356e-07","0.981631308098147"
"290","Q_372","Q_372","-2.58812780954932","6.62882378935722e-08","0.269320171189152","2.40825870795823e-07","0.979139503124701"
"291","Q_374","Q_374","-2.37826325246526","0.0516971281167444","0.259591152037893","0.157916960385645","0.879440519691061"
"292","Q_375_D8","Q_375","-1.60753876223652","0.0699003306298818","0.00836252152687278","0.948208510468072","-0.495976462418096"
"293","Q_376","Q_376","-2.7574668700663","3.153514113636e-07","0.330282978593973","4.33063671839621e-07","0.975341001812464"
"294","Q_378","Q_378","-2.2188293845571","6.009824976053e-07","0.228399239005558","2.31412931289907e-06","0.960255581510267"
"295","Q_429","Q_379","-2.47708632711785","0.0306398805344792","0.253470068060411","0.100936982880391","0.950142769059851"
"296","Q_380","Q_380","-3.28378750560028","4.53842989797036e-06","0.311715880125416","1.64690953795001e-05","0.956465945203782"
"297","Q_381","Q_381","-3.25405207036969","NaN","0.594792033436918","NaN","NaN"
"298","Q_382","Q_382","-2.60192971081429","3.14531690213739e-08","0.245559067845648","2.24939051245264e-07","0.97954149929206"
